,COWZ,DBB,GLD,QQQ,SCHD,SPY,TLT
2016-09-28,0.0,0.4870077196536139,0.0,0.0,0.0,0.0,0.5129950563617004
2016-09-29,0.0,0.4867351570641107,0.0,0.0,0.0,0.0,0.5132676134483817
2016-09-30,0.0,0.49076310650207655,0.0,0.0,0.0,0.0,0.509239667087375
2016-10-03,0.0,0.48278274358198275,0.0,0.0,0.0,0.0,0.5172203240826864
2016-10-04,0.0,0.4830553218279776,0.0,0.0,0.0,0.0,0.516947780542689
2016-10-05,0.0,0.482788493270059,0.0,0.0,0.0,0.0,0.5172146252719748
2016-10-06,0.0,0.4836445044692803,0.0,0.0,0.0,0.0,0.5163586264002199
2016-10-07,0.0,0.483296506851613,0.0,0.0,0.0,0.0,0.5167066240633585
2016-10-10,0.0,0.48639091670956563,0.0,0.0,0.0,0.0,0.513612213963909
2016-10-11,0.0,0.48280211825352637,0.0,0.0,0.0,0.0,0.5172010414592197
2016-10-12,0.0,0.4827397862610196,0.0,0.0,0.0,0.0,0.5172633707890372
2016-10-13,0.0,0.4801608298700354,0.0,0.0,0.0,0.0,0.5198423310712739
2016-10-14,0.0,0.4827668477808466,0.0,0.0,0.0,0.0,0.517236342049328
2016-10-17,0.0,0.4816369525476739,0.0,0.0,0.0,0.0,0.518366224016135
2016-10-18,0.0,0.48018513225968873,0.0,0.0,0.0,0.0,0.5198180429339673
2016-10-19,0.0,0.4807127185548417,0.0,0.0,0.0,0.0,0.5192904508360501
2016-10-20,0.0,0.4778714789518321,0.0,0.0,0.0,0.0,0.5221317044725672
2016-10-21,0.0,0.47694103360369977,0.0,0.0,0.0,0.0,0.523062150752015
2016-10-24,0.0,0.48116370223537325,0.0,0.0,0.0,0.0,0.5188394702570924
2016-10-25,0.0,0.48504810692029315,0.0,0.0,0.0,0.0,0.5149550335815424
2016-10-26,0.0,0.4865630393830299,0.0,0.0,0.0,0.0,0.513440113241584
2016-10-27,0.0,0.4914543411190317,0.0,0.0,0.0,0.0,0.5085488159024948
2016-10-28,0.0,0.4950305494534755,0.0,0.0,0.0,0.0,0.5049725923734885
2016-10-31,0.0,0.49788031220301276,0.0,0.0,0.0,0.0,0.5021227928928467
