,COWZ,DBB,GLD,QQQ,SCHD,SPY,TLT
2016-07-01,0.3000900270081024,0.0,0.0,0.7002100630189056,0.0,0.0,0.0
2016-07-05,0.30137869140028184,0.0,0.0,0.6989226906351098,0.0,0.0,0.0
2016-07-06,0.29966291999085687,0.0,0.0,0.7006367494604879,0.0,0.0,0.0
2016-07-07,0.29904383743149243,0.0,0.0,0.7012552163602915,0.0,0.0,0.0
2016-07-08,0.2958351659626822,0.0,0.0,0.7044606823334165,0.0,0.0,0.0
2016-07-11,0.29464959581985284,0.0,0.0,0.7056450704727176,0.0,0.0,0.0
2016-07-12,0.29360370477499165,0.0,0.0,0.7066899189413605,0.0,0.0,0.0
2016-07-13,0.2941070466818958,0.0,0.0,0.7061870840233258,0.0,0.0,0.0
2016-07-14,0.2926946233572641,0.0,0.0,0.7075980985221599,0.0,0.0,0.0
2016-07-15,0.2930279186012294,0.0,0.0,0.7072651403198933,0.0,0.0,0.0
2016-07-18,0.29166254192109864,0.0,0.0,0.7086291551770392,0.0,0.0,0.0
2016-07-19,0.292417460068934,0.0,0.0,0.7078749956288767,0.0,0.0,0.0
2016-07-20,0.2900190010460102,0.0,0.0,0.7102710595565502,0.0,0.0,0.0
2016-07-21,0.2904918977143804,0.0,0.0,0.7097986395361306,0.0,0.0,0.0
2016-07-22,0.28963817159530847,0.0,0.0,0.7106515155830485,0.0,0.0,0.0
2016-07-25,0.2896200627657721,0.0,0.0,0.7106696099731793,0.0,0.0,0.0
2016-07-26,0.28938484109980084,0.0,0.0,0.7109045999297571,0.0,0.0,0.0
2016-07-27,0.28796358748976336,0.0,0.0,0.7123244355478648,0.0,0.0,0.0
2016-07-28,0.2872492762879001,0.0,0.0,0.7130380351377971,0.0,0.0,0.0
2016-07-29,0.2868046289826937,0.0,0.0,0.7134822408824656,0.0,0.0,0.0
2016-08-01,0.7001185777567749,0.0,0.0,0.15002540951930887,0.15002540951930887,0.0,0.0
2016-08-02,0.7015870166775109,0.0,0.0,0.14919798879719556,0.14938474856667705,0.0,0.0
2016-08-03,0.7011915890584531,0.0,0.0,0.1496067936353134,0.14937127755352048,0.0,0.0
2016-08-04,0.7007182000856267,0.0,0.0,0.14993354294822486,0.1495178044193064,0.0,0.0
2016-08-05,0.6991193646936643,0.0,0.0,0.15102695727282595,0.15002284050557485,0.0,0.0
2016-08-08,0.6992369245577695,0.0,0.0,0.15088420096006278,0.15004806747772467,0.0,0.0
2016-08-09,0.6989435325404162,0.0,0.0,0.15116998413691068,0.15005560727017547,0.0,0.0
2016-08-10,0.6992394028153044,0.0,0.0,0.15084593125305984,0.15008386334844853,0.0,0.0
2016-08-11,0.6982215264730295,0.0,0.0,0.15127214602750313,0.15067528049178433,0.0,0.0
2016-08-12,0.69822314088299,0.0,0.0,0.15137582400260155,0.1505699904388763,0.0,0.0
2016-08-15,0.697477988193393,0.0,0.0,0.1518593858715759,0.15083140302121187,0.0,0.0
2016-08-16,0.6986783373986216,0.0,0.0,0.15128064459446885,0.15021008736494257,0.0,0.0
2016-08-17,0.6983165662937867,0.0,0.0,0.15147358529673205,0.15037883223318782,0.0,0.0
2016-08-18,0.6979699690085394,0.0,0.0,0.15143713804449155,0.15076179490620853,0.0,0.0
2016-08-19,0.6983657585267137,0.0,0.0,0.1514842557064715,0.1503189855121548,0.0,0.0
2016-08-22,0.6984075470401553,0.0,0.0,0.15160959509143554,0.15015186966843533,0.0,0.0
2016-08-23,0.6979723422259992,0.0,0.0,0.15178626039380996,0.15041030587020615,0.0,0.0
2016-08-24,0.6989288048175125,0.0,0.0,0.1510116498175169,0.15022868739529827,0.0,0.0
2016-08-25,0.699149842107671,0.0,0.0,0.15081367727933012,0.1502056783467713,0.0,0.0
2016-08-26,0.6992919753010903,0.0,0.0,0.15106424540436553,0.14981301370468839,0.0,0.0
2016-08-29,0.6985561359961565,0.0,0.0,0.15111204101110617,0.15050088153391963,0.0,0.0
2016-08-30,0.6992936943317328,0.0,0.0,0.15078002850848476,0.15009551641104746,0.0,0.0
2016-08-31,0.6995996758603799,0.0,0.0,0.15069070563557357,0.1498789340208567,0.0,0.0
2016-09-01,0.7000002180422156,0.0,0.0,0.15000004672333192,0.15000004672333192,0.0,0.0
2016-09-02,0.6992152347165295,0.0,0.0,0.15031955314006695,0.15046552328704585,0.0,0.0
2016-09-06,0.6982660199503773,0.0,0.0,0.15105114623060767,0.15068314454420567,0.0,0.0
2016-09-07,0.6983752309865686,0.0,0.0,0.15116450580888457,0.15046057398252186,0.0,0.0
2016-09-08,0.6992149816936329,0.0,0.0,0.15046067996759213,0.15032464949475427,0.0,0.0
2016-09-09,0.7045114539467323,0.0,0.0,0.14778549822015824,0.1477033613504058,0.0,0.0
2016-09-12,0.7011851340980424,0.0,0.0,0.14972625367047404,0.14908892427309506,0.0,0.0
2016-09-13,0.7035678031775434,0.0,0.0,0.1488919186011754,0.1475405913276938,0.0,0.0
2016-09-14,0.7033171304992945,0.0,0.0,0.1495489177360648,0.14713426476358923,0.0,0.0
2016-09-15,0.7006222005007255,0.0,0.0,0.15129077253525303,0.14808733876722166,0.0,0.0
